number,name,notice,count,measure,additive,allergen,cal,protein,fat,carbohydrates,salt
"18001","野菜炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.9","0.785","1.009","2.232","0.49"
"18002","もやし中華炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","27.6","2.053","1.407","1.720","0.11"
"18003","メンチカツ","4℃以下で保存して下さい。 ","","(１食当たり)","","乳成分・小麦","216.4","5.880","15.100","14.520","0.78"
"18004","麻婆茄子（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","41.8","1.692","0.922","7.812","1.10"
"18005","骨なし秋鮭","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18006","茄子の甘辛炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","51.5","1.697","0.140","12.279","0.87"
"18007","鶏の唐揚げ","4℃以下で保存して下さい。 ","","(１食当たり)","","","50.6","7.552","0.850","3.494","0.77"
"18008","いんげん","4℃以下で保存して下さい。 ","","(１食当たり)","","","14.7","0.407","0.205","2.942","0.01"
"18009","焼肉風野菜炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","77.5","1.781","1.567","14.998","1.72"
"18010","和風スパゲティ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","47.8","1.447","0.732","8.492","0.31"
"18011","ほうれん草ピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","30.4","1.378","1.733","2.308","0.00"
"18012","釜飯（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18013","さつま芋甘煮","4℃以下で保存して下さい。 ","","(１食当たり)","","","33.2","2.043","2.045","1.787","0.02"
"","","","","","","","","","","",""
"18015","白身フライ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","86.4","11.340","0.840","7.700","0.91"
"18016","タルタルソース","4℃以下で保存して下さい。 ","","(１食当たり)","","","27.6","0.912","2.018","1.691","0.48"
"18017","チンジャオロース","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18018","和風マカロニ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","47.8","1.447","0.732","8.492","0.31"
"18019","小松菜胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","ごま","22.3","1.982","1.021","1.436","0.05"
"18020","たまねぎの炒め物","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.7","0.841","3.087","3.907","0.19"
"18021","野菜コロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","小麦","74.0","5.800","1.350","9.650","0.45"
"18022","菜の花お浸し","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18023","カリフラワーゆかり和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18024","いんげん胡麻和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18025","とんかつ","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18026","フライのタレ","4℃以下で保存して下さい。 ","","(１食当たり)","","","30.4","1.378","1.733","2.308","0.00"
"18027","キャベツ味噌炒め（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18028","大根煮物","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18029","たまねぎの卵とじ","4℃以下で保存して下さい。 ","","(１食当たり)","","卵","53.6","7.762","0.870","4.154","0.77"
"18030","豚丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","74.0","5.800","1.350","9.650","0.45"
"18031","カリフラワー辛子風味","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18032","味噌汁（焼き麩・人参）","4℃以下で保存して下さい。 ","","(１食当たり)","","","19.06","1.725","0.965","1.021","0.025"
"18033","豚丼","4℃以下で保存して下さい。 ","","(１食当たり)","","","131.2","6.440","5.083","13.182","1.20"
"18034","回鍋肉（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18035","ほうれん草ピーナッツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","22.3","1.982","1.021","1.436","0.05"
"18036","衣がサクサクコロッケ","4℃以下で保存して下さい。 ","","(１食当たり)","","","66.0","3.844","0.538","12.040","1.35"
"18037","ちくわと枝豆の醤油炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18038","ぶりの塩焼き","4℃以下で保存して下さい。 ","","(１食当たり)","","","79.8","13.380","2.460","0.060","2.03"
"18039","ほうれん草おかか和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18040","塩焼きそば（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","53.6","7.762","0.870","4.154","0.77"
"18041","ブロッコリーカツオ節和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","36.9","1.852","2.144","3.157","0.45"
"18042","ほうれん草ピーナツ和え","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18043","カリフラワー和え物","4℃以下で保存して下さい。 ","","(１食当たり)","","","39.8","1.490","0.078","8.863","0.29"
"18044","ビーフン中華炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","53.6","7.762","0.870","4.154","0.77"
"18045","キャベツ炒め","4℃以下で保存して下さい。 ","","(１食当たり)","","","47.8","1.447","0.732","8.492","0.31"
"18046","肉じゃが（肉なし）","4℃以下で保存して下さい。 ","","(１食当たり)","","","323.4","7.520","23.136","18.283","2.14"
